geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
06001400600,1665,1788,644,428,205,188,50.99,34.45
06001400700,4544,4442,1831,1176,591,625,53.3,40.54
06001401000,5987,5881,2305,1763,1176,942,58.14,46
06001401400,4190,5378,1888,1583,988,1287,68.64,53.37
06001401500,2213,2637,918,938,207,470,50.84,53.39
06001401600,1966,2971,738,793,290,791,52.29,53.32
06001401700,2806,6315,832,1278,779,1594,57.41,45.48
06001401800,1947,1965,1026,815,375,400,71.96,61.83
06001402200,2452,3139,864,815,528,891,56.77,54.35
06001402400,2958,2459,1789,971,258,359,69.2,54.09
06001402500,1907,2010,1150,1014,321,169,77.14,58.86
06001402700,1831,1944,836,772,300,375,62.04,59
06001405401,4138,3875,948,655,1203,753,51.98,36.34
06001405700,3352,3423,1121,835,707,659,54.53,43.65
06001405901,4052,4279,630,541,1461,1805,51.6,54.83
06001406100,4905,5859,387,800,3055,2858,70.17,62.43
06001406201,4252,5019,650,637,1864,2447,59.13,61.45
06001406202,4666,4769,671,514,2605,3114,70.21,76.07
06001406300,3994,3989,686,652,1216,1424,47.62,52.04
06001406500,6352,6196,1134,995,2862,2966,62.91,63.93
06001406601,4995,4834,1600,1081,942,1306,50.89,49.38
06001406602,2891,2554,383,577,1016,798,48.39,53.84
06001407000,5847,6079,1380,1165,1644,2076,51.72,53.31
06001407101,3755,3558,516,484,2025,1954,67.67,68.52
06001407102,4065,4382,861,653,1960,2057,69.4,61.84
06001407200,6565,6823,502,414,4453,4974,75.48,78.97
06001407300,2513,3943,304,582,1348,2173,65.74,69.87
06001407400,4517,4412,687,757,3185,2971,85.72,84.5
06001407500,3887,4383,1354,1101,1691,2545,78.34,83.19
06001407600,6104,6390,2383,1794,1765,2401,67.96,65.65
06001407700,4126,4425,2150,1606,577,791,66.09,54.17
06001407800,2763,2391,815,648,595,543,51.03,49.81
06001408200,4132,4471,2110,1749,523,1221,63.72,66.43
06001408300,4557,4437,1943,1474,798,1129,60.15,58.67
